benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/T103.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,336.246345,complete,UNSAT,205.2753761,UNSAT-VERIFIED
sat/T105.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,264.443635,complete,UNSAT,200.6777551,UNSAT-VERIFIED
sat/T107.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,345.8360331,complete,UNSAT,218.4648981,UNSAT-VERIFIED
sat/T129.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,373.55265,complete,UNSAT,228.3442099,UNSAT-VERIFIED
sat/T56.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,251.38392,complete,UNSAT,224.7562411,UNSAT-VERIFIED
sat/CNP-5-1400.cnf.bz2,abcdsat_r18,default,973.625639,complete,SAT-VERIFIED,0.007417917,--
sat/CNP-5-1400.cnf.bz2,CaDiCaL,DONTUNZIP-fixed,4261.308458,complete,SAT-VERIFIED,0.007914066,--
sat/CNP-5-1400.cnf.bz2,Candy,default,58.58410883,complete,SAT-VERIFIED,0.00820899,--
sat/CNP-5-1400.cnf.bz2,cms55-main-all4fixed,otherconf,169.7008932,complete,SAT-VERIFIED,0.008167028,--
sat/CNP-5-1400.cnf.bz2,cms55-main-all4fixed,main,2087.385983,complete,SAT-VERIFIED,0.008959055,--
sat/CNP-5-1400.cnf.bz2,cms55-main-all4fixed,glubreak,691.285589,complete,SAT-VERIFIED,0.009237051,--
sat/CNP-5-1400.cnf.bz2,cms55-main-all4fixed,autotune,2298.843497,complete,SAT-VERIFIED,0.008723974,--
sat/CNP-5-1400.cnf.bz2,COMiniSatPS_Pulsar_drup,drup,74.51089001,complete,SAT-VERIFIED,0.008563042,--
sat/CNP-5-1400.cnf.bz2,expGlucose,default,1033.446999,complete,SAT-VERIFIED,0.008598089,--
sat/CNP-5-1400.cnf.bz2,YalSAT,default,11.26696587,complete,SAT-VERIFIED,0.008080959,--
sat/CNP-5-1400.cnf.bz2,varisat,default,153.8679471,complete,SAT-VERIFIED,0.00875783,--
sat/CNP-5-1400.cnf.bz2,Sparrow2Riss-2018-fixfix,MAIN,1537.812642,complete,SAT-VERIFIED,0.008147001,--
sat/CNP-5-1400.cnf.bz2,smallsat,default,1117.667658,complete,SAT-VERIFIED,0.008462191,--
sat/CNP-5-1400.cnf.bz2,Riss7.1-fix,BVE_DRAT,1957.873875,complete,SAT-VERIFIED,0.010583878,--
sat/CNP-5-1400.cnf.bz2,Maple_LCM_Scavel_200_fix2,default,762.838558,complete,SAT-VERIFIED,0.007551908,--
sat/CNP-5-1400.cnf.bz2,Maple_LCM_Scavel_fix2,default,1855.71456,complete,SAT-VERIFIED,0.009071112,--
sat/CNP-5-1400.cnf.bz2,Maple_LCM_M1,default,35.19576907,complete,SAT-VERIFIED,0.007908106,--
sat/CNP-5-1400.cnf.bz2,Maple_LCM+BCrestart_M1,default,36.39485598,complete,SAT-VERIFIED,0.008264065,--
sat/CNP-5-1400.cnf.bz2,Maple_LCM+BCrestart,default,536.433723,complete,SAT-VERIFIED,0.008942842,--
sat/CNP-5-1400.cnf.bz2,Maple_CM_ordUIP+,default,472.036274,complete,SAT-VERIFIED,0.008235931,--
sat/CNP-5-1400.cnf.bz2,Maple_CM_ordUIP,default,473.861104,complete,SAT-VERIFIED,0.008069992,--
sat/CNP-5-1400.cnf.bz2,Maple_CM_Dist,default,943.5227239,complete,SAT-VERIFIED,0.009506941,--
sat/CNP-5-1400.cnf.bz2,Maple_CM,default,319.82231,complete,SAT-VERIFIED,0.008452177,--
sat/CNP-5-1400.cnf.bz2,MapleLCMDistChronoBT,default,143.0241539,complete,SAT-VERIFIED,0.007982969,--
sat/CNP-5-1400.cnf.bz2,MapleCOMSPS_LRB_VSIDS_drup,LRB_VSIDS_drup,153.5620892,complete,SAT-VERIFIED,0.008905172,--
sat/CNP-5-1400.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_fix,LRB_VSIDS_2_drup,43.58836007,complete,SAT-VERIFIED,0.008298874,--
sat/CNP-5-1400.cnf.bz2,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,64.64477205,complete,SAT-VERIFIED,0.007662058,--
sat/CNP-5-1400.cnf.bz2,Lingeling,default,5001.008444,timeout(wallclock),UNKNOWN,0.007683992,--
sat/CNP-5-1400.cnf.bz2,inIDGlucose,default,382.808111,complete,SAT-VERIFIED,0.00833416,--
sat/CNP-5-1400.cnf.bz2,glu_mix,default,4639.788561,complete,SAT-VERIFIED,0.008370161,--
sat/CNP-5-1400.cnf.bz2,gluHack,default,2291.797026,complete,SAT-VERIFIED,0.007851839,--
sat/CNP-5-1400.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,450.1532729,complete,SAT-VERIFIED,0.008731842,--
sat/CNP-5-1400.cnf.bz2,glucose-3.0_PADC_3,default,289.70403,complete,SAT-VERIFIED,0.008076906,--
sat/CNP-5-1400.cnf.bz2,glucose-3.0_PADC_10,default,2636.692181,complete,SAT-VERIFIED,0.007875919,--
sat/CNP-5-1400.cnf.bz2,glucose4.2.1,default,2812.290345,complete,SAT-VERIFIED,0.008509874,--
sat/CNP-5-1400.cnf.bz2,GHackCOMSPS_drup,ghack_drup,44.53032494,complete,SAT-VERIFIED,0.008708,--
sat/CNP-5-1400.cnf.bz2,expMC_VSIDS_LRB_Switch_2500,default,2427.882532,complete,SAT-VERIFIED,0.008319139,--
sat/CNP-5-1400.cnf.bz2,expMC_LRB_VSIDS_Switch_2500,default,1565.558089,complete,SAT-VERIFIED,0.008052111,--
sat/CNP-5-1400.cnf.bz2,expMC_LRB_VSIDS_Switch,default,136.081876,complete,SAT-VERIFIED,0.009212971,--
sat/a_rphp056_05.cnf.bz2,abcdsat_r18,default,5001.010104,timeout(wallclock),UNKNOWN,0.007824898,--
sat/a_rphp056_05.cnf.bz2,CaDiCaL,DONTUNZIP-fixed,5001.00806,timeout(wallclock),UNKNOWN,0.008804083,--
sat/a_rphp056_05.cnf.bz2,Candy,default,5001.009123,timeout(wallclock),UNKNOWN,0.007912874,--
sat/a_rphp056_05.cnf.bz2,cms55-main-all4fixed,otherconf,5001.009511,timeout(wallclock),UNKNOWN,0.01008296,--
sat/a_rphp056_05.cnf.bz2,cms55-main-all4fixed,main,5000.086165,timeout(wallclock),UNKNOWN,0.008256912,--
sat/a_rphp056_05.cnf.bz2,cms55-main-all4fixed,glubreak,5000.600233,timeout(wallclock),UNKNOWN,0.008593798,--
sat/a_rphp056_05.cnf.bz2,cms55-main-all4fixed,autotune,5000.032951,timeout(wallclock),UNKNOWN,0.00919199,--
sat/a_rphp056_05.cnf.bz2,COMiniSatPS_Pulsar_drup,drup,5000.735248,timeout(cpu),UNKNOWN,0.008032084,--
sat/a_rphp056_05.cnf.bz2,expGlucose,default,5000.938417,timeout(cpu),UNKNOWN,0.007871151,--
sat/a_rphp056_05.cnf.bz2,YalSAT,default,5000.605598,timeout(cpu),UNKNOWN,0.008368015,--
sat/a_rphp056_05.cnf.bz2,varisat,default,5001.009057,timeout(wallclock),UNKNOWN,0.00879693,--
sat/a_rphp056_05.cnf.bz2,Sparrow2Riss-2018-fixfix,MAIN,5001.00991,timeout(wallclock),UNKNOWN,0.008917093,--
sat/a_rphp056_05.cnf.bz2,smallsat,default,5001.009882,timeout(wallclock),UNKNOWN,0.008708,--
sat/a_rphp056_05.cnf.bz2,Riss7.1-fix,BVE_DRAT,5001.009642,timeout(wallclock),UNKNOWN,0.008355856,--
sat/a_rphp056_05.cnf.bz2,Maple_LCM_Scavel_200_fix2,default,5000.772087,timeout(cpu),UNKNOWN,0.00757885,--
sat/a_rphp056_05.cnf.bz2,Maple_LCM_Scavel_fix2,default,5000.196662,timeout(wallclock),UNKNOWN,0.008002043,--
sat/a_rphp056_05.cnf.bz2,Maple_LCM_M1,default,5000.298581,timeout(cpu),UNKNOWN,0.007761955,--
sat/a_rphp056_05.cnf.bz2,Maple_LCM+BCrestart_M1,default,5000.372938,timeout(cpu),UNKNOWN,0.008063078,--
sat/a_rphp056_05.cnf.bz2,Maple_LCM+BCrestart,default,5000.883377,timeout(cpu),UNKNOWN,0.007822037,--
sat/a_rphp056_05.cnf.bz2,Maple_CM_ordUIP+,default,5000.384279,timeout(cpu),UNKNOWN,0.008226871,--
sat/a_rphp056_05.cnf.bz2,Maple_CM_ordUIP,default,5000.64607,timeout(cpu),UNKNOWN,0.007891893,--
sat/a_rphp056_05.cnf.bz2,Maple_CM_Dist,default,5000.380321,timeout(cpu),UNKNOWN,0.008091211,--
sat/a_rphp056_05.cnf.bz2,Maple_CM,default,5000.080983,timeout(cpu),UNKNOWN,0.007586956,--
sat/a_rphp056_05.cnf.bz2,MapleLCMDistChronoBT,default,5000.603494,timeout(cpu),UNKNOWN,0.007799864,--
sat/a_rphp056_05.cnf.bz2,MapleCOMSPS_LRB_VSIDS_drup,LRB_VSIDS_drup,5001.007125,timeout(cpu),UNKNOWN,0.008244038,--
sat/a_rphp056_05.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_fix,LRB_VSIDS_2_drup,5000.37763,timeout(cpu),UNKNOWN,0.00779891,--
sat/a_rphp056_05.cnf.bz2,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,5000.451149,timeout(cpu),UNKNOWN,0.008056164,--
sat/a_rphp056_05.cnf.bz2,Lingeling,default,5001.007759,timeout(wallclock),UNKNOWN,0.007877111,--
sat/a_rphp056_05.cnf.bz2,inIDGlucose,default,5000.462098,timeout(wallclock),UNKNOWN,0.008146048,--
sat/a_rphp056_05.cnf.bz2,glu_mix,default,5001.007914,timeout(wallclock),UNKNOWN,0.008440971,--
sat/a_rphp056_05.cnf.bz2,gluHack,default,647.2002079,memout,UNKNOWN,0.007878065,--
sat/a_rphp056_05.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5001.008339,timeout(wallclock),UNKNOWN,0.007996082,--
sat/a_rphp056_05.cnf.bz2,glucose-3.0_PADC_3,default,5001.009249,timeout(wallclock),UNKNOWN,0.008424997,--
sat/a_rphp056_05.cnf.bz2,glucose-3.0_PADC_10,default,5001.009633,timeout(wallclock),UNKNOWN,0.008391142,--
sat/a_rphp056_05.cnf.bz2,glucose4.2.1,default,5000.049848,timeout(wallclock),UNKNOWN,0.008201838,--
sat/a_rphp056_05.cnf.bz2,GHackCOMSPS_drup,ghack_drup,5001.007217,timeout(cpu),UNKNOWN,0.008929014,--
sat/a_rphp056_05.cnf.bz2,expMC_VSIDS_LRB_Switch_2500,default,5000.869105,timeout(cpu),UNKNOWN,0.009806871,--
sat/a_rphp056_05.cnf.bz2,expMC_LRB_VSIDS_Switch_2500,default,5000.592959,timeout(wallclock),UNKNOWN,0.007629871,--
sat/a_rphp056_05.cnf.bz2,expMC_LRB_VSIDS_Switch,default,5000.737402,timeout(cpu),UNKNOWN,0.008147001,--
sat/satcoin-genesis-SAT-512.cnf.bz2,abcdsat_r18,default,5001.008015,timeout(wallclock),UNKNOWN,0.007754087,--
sat/satcoin-genesis-SAT-512.cnf.bz2,CaDiCaL,DONTUNZIP-fixed,29.04191613,complete,SAT-VERIFIED,0.008280039,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Candy,default,20.01192999,complete,SAT-VERIFIED,0.009768009,--
sat/satcoin-genesis-SAT-512.cnf.bz2,cms55-main-all4fixed,otherconf,427.009774,complete,SAT-VERIFIED,0.008875132,--
sat/satcoin-genesis-SAT-512.cnf.bz2,cms55-main-all4fixed,main,393.5768781,complete,SAT-VERIFIED,0.008352041,--
sat/satcoin-genesis-SAT-512.cnf.bz2,cms55-main-all4fixed,glubreak,3178.983835,complete,SAT-VERIFIED,0.009334087,--
sat/satcoin-genesis-SAT-512.cnf.bz2,cms55-main-all4fixed,autotune,5000.123888,timeout(wallclock),UNKNOWN,0.00851512,--
sat/satcoin-genesis-SAT-512.cnf.bz2,COMiniSatPS_Pulsar_drup,drup,5000.373144,timeout(cpu),UNKNOWN,0.007846117,--
sat/satcoin-genesis-SAT-512.cnf.bz2,expGlucose,default,326.0693839,complete,SAT-VERIFIED,0.011142969,--
sat/satcoin-genesis-SAT-512.cnf.bz2,YalSAT,default,5000.380933,timeout(cpu),UNKNOWN,0.008270025,--
sat/satcoin-genesis-SAT-512.cnf.bz2,varisat,default,5001.008594,timeout(wallclock),UNKNOWN,0.008752108,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Sparrow2Riss-2018-fixfix,MAIN,5001.008613,timeout(wallclock),UNKNOWN,0.007874966,--
sat/satcoin-genesis-SAT-512.cnf.bz2,smallsat,default,5000.912196,timeout(wallclock),UNKNOWN,0.007967949,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Riss7.1-fix,BVE_DRAT,5001.010249,timeout(wallclock),UNKNOWN,0.008182049,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_LCM_Scavel_200_fix2,default,5000.295067,timeout(cpu),UNKNOWN,0.008583069,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_LCM_Scavel_fix2,default,5000.443036,timeout(cpu),UNKNOWN,0.008350849,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_LCM_M1,default,5000.39907,timeout(cpu),UNKNOWN,0.008420229,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_LCM+BCrestart_M1,default,5000.938183,timeout(cpu),UNKNOWN,0.008369923,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_LCM+BCrestart,default,5000.012349,timeout(wallclock),UNKNOWN,0.008285999,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_CM_ordUIP+,default,5000.581472,timeout(cpu),UNKNOWN,0.00808692,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_CM_ordUIP,default,5000.651818,timeout(cpu),UNKNOWN,0.007496119,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_CM_Dist,default,5000.425502,timeout(cpu),UNKNOWN,0.008262157,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Maple_CM,default,5000.658231,timeout(cpu),UNKNOWN,0.007870913,--
sat/satcoin-genesis-SAT-512.cnf.bz2,MapleLCMDistChronoBT,default,2676.198538,complete,SAT-VERIFIED,0.010710001,--
sat/satcoin-genesis-SAT-512.cnf.bz2,MapleCOMSPS_LRB_VSIDS_drup,LRB_VSIDS_drup,5000.716135,timeout(cpu),UNKNOWN,0.008910179,--
sat/satcoin-genesis-SAT-512.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_fix,LRB_VSIDS_2_drup,5000.556287,timeout(wallclock),UNKNOWN,0.007648945,--
sat/satcoin-genesis-SAT-512.cnf.bz2,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,5001.007699,timeout(cpu),UNKNOWN,0.008748055,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Lingeling,default,43.18073988,complete,SAT-VERIFIED,0.008896112,--
sat/satcoin-genesis-SAT-512.cnf.bz2,inIDGlucose,default,16.1386261,complete,SAT-VERIFIED,0.010085106,--
sat/satcoin-genesis-SAT-512.cnf.bz2,glu_mix,default,5001.008091,timeout(wallclock),UNKNOWN,0.007661104,--
sat/satcoin-genesis-SAT-512.cnf.bz2,gluHack,default,5001.009048,timeout(wallclock),UNKNOWN,0.008384943,--
sat/satcoin-genesis-SAT-512.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5001.007927,timeout(wallclock),UNKNOWN,0.008168936,--
sat/satcoin-genesis-SAT-512.cnf.bz2,glucose-3.0_PADC_3,default,5001.00814,timeout(wallclock),UNKNOWN,0.008222103,--
